Piece,Part,Quantity,Supplier,Reference,Price,Stock
Main box,main,1,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
Box clips,main,2,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
Shafts,main,10,Polygonal Tree/Custom made,https://github.com/gilestrolab/ethoscope_hardware/tree/master/gear_motor_sleep_depriver/TODO,,
LED Panels,man,2,Polygonal Tree/Custom made,,,
Filter Box,main,1,Polygonal Tree/Custom made,,,
USB A to mini cable,main,1,RS,,,
Arduino Nano,circuitry,1,,,,
TLC5947 PWM Driver,circuitry,1,Adafruit,https://www.adafruit.com/product/1429,$15,
Push button (optional),circuitry,,,,,
2 Row PCB Headers,circuitry,7,RS,http://uk.rs-online.com/web/p/pcb-headers/2518137/,£0.18,
6 Pin PCB Header,circuitry,1,RS,http://uk.rs-online.com/web/p/pcb-headers/2518137/,£0.37,
Female 3 pins crimps,circuitry,10,RS,,,
Crimps stuff,circuitry,20,RS,,,
Ribbon cable,circuitry,,,,,
GM23 gear motor,motor,10,solarbotics.com,https://solarbotics.com/product/gm23/,$4,
Silicon tubing 6x9 mm,motor,,,,,
Light Guides,opto,10,RS,http://uk.rs-online.com/web/p/led-light-pipes/8905782/,£2.32,
LED Fiber Optic Couplers,opto,10,Farnell,http://uk.farnell.com/vcc-visual-communications-company/thr-5-22/ledfiber-optic-coupler-5mm-leds/dp/2080152,£0.57,
630 nm LEDs,opto,10,RS,http://uk.rs-online.com/web/p/visible-leds/9047367/?searchTerm=C503B-RAN-CA0B0AA1&relevancy-data=636F3D3126696E3D4931384E4B6E6F776E41734D504E266C753D656E266D6D3D6D61746368616C6C7061727469616C26706D3D5E5B5C707B4C7D5C707B4E647D2D2C2F255C2E5D2B2426706F3D313326736E3D592673743D4B4559574F52445F53494E474C455F414C5048415F4E554D455249432677633D424F5448267573743D43353033422D52414E2D4341304230414131267374613D43353033422D52414E2D434130423041413126,£0.11,
